control_id,control_type,matched_event_id,asset_class,symbol,name,match_sector,match_period,no_spike_evidence,source_url,status,observed_at
CTL-C1-01-213500,C1,kr_stock-2023-youngpoong,kr_stock,213500,한솔제지 (Hansol Paper),"kr_stock / 제지 (인쇄용지·산업용지·감열지, 국내 감열지 85~90% 공급) — KOSPI",2022-10 ~ 2023-09,"영풍제지 시세조종 사건(2023-04 무상증자 후 급등 → 2023-10-18 하한가 폭락, 약 15배 급등)과 동일 제지 섹터 최대사이나 동일 기간 시세조종성 급등·붕괴 보도 없음. 2022 매출 2.46조·영업이익 1,302억 → 2023 매출 2.19조·영업이익 472억으로 오히려 실적 둔화. no_spike=supported(반증 부재+정상 밴드 정황 기반, 일별 OHLC 미확보). 부정적 함의 없이 '해당 기간 급등 부재' 사실만 기술. confidence=med. 주의: evidence에 인용된 52주 밴드(7,720~9,390원)는 현재(2025~2026) 값으로 대상 기간 실측 아님.",https://namu.wiki/w/%EC%98%81%ED%92%8D%EC%A0%9C%EC%A7%80%20%EC%82%AC%ED%83%9C ; https://comp.fnguide.com/SVO2/asp/SVD_Main.asp?gicode=A213500,candidate—시장데이터 검증 대기,2026-07-02
CTL-C1-02-002310,C1,kr_stock-2023-youngpoong,kr_stock,002310,아세아제지 (Asia Paper),kr_stock / 제지 (골판지원지·판지) — KOSPI,2022-10 ~ 2023-09,"골판지원지 국내 과점 4사(아세아·태림·신대양·삼보판지, 합산 77%+) 중 하나. 영풍제지 사건과 동일 제지 섹터이나 동일 기간 상한가·세력·시세조종성 급등 보도 미발견. 딜사이트 보도('밸류업 분투에도 주가 효과 신통치 않음')가 급등 부재를 지지. 재무 일치(2023 매출 9,075억 YoY -11.3%, 영업이익 1,025억 -6.3%, OPM 11.3%). 2023 자사주 취득 200억·2024 저PBR/밸류업 관심은 정상적 주주환원이며 대상 기간 이후·주가 미반영으로 급등 요인 아님. no_spike=supported(일별 OHLC 미확보). confidence=med.",https://ssl.pstatic.net/imgstock/upload/research/company/1707953871507.pdf ; https://www.google.com/finance/quote/002310:KRX,candidate—시장데이터 검증 대기,2026-07-02
CTL-C1-03-016590,C1,kr_stock-2023-youngpoong,kr_stock,016590,신대양제지 (Shindaeyang Paper),"kr_stock / 제지 (골판지원지) — KOSPI (※후보의 KOSDAQ 표기는 오류, KOSPI로 정정)",2022-10 ~ 2023-09,"골판지원지 과점 4사 중 하나로 섹터 매칭 성립. 영풍제지 사건과 동일 섹터이나 동일 기간 급등/상한가/시세조종 보도 미발견, 펀더멘털 완만(2023 상반기 매출 -3.4%, 영업이익 +5.8%). 2023-07 언급은 소폭 일목균형표 기술적 크로스로 급등 아님. no_spike=unknown(일별 가격 직접 미확인, 반증 부재로 plausible). 메타데이터 정정 필요: 거래소 KOSDAQ→KOSPI. confidence=low.",https://dealsite.co.kr/articles/115228,candidate—시장데이터 검증 대기,2026-07-02
CTL-C1-04-015360,C1,kr_stock-2023-sg-cfd,kr_stock,015360,예스코홀딩스 (YESCO Holdings),"kr_stock / 도시가스 지주회사 (서울 지역 공급, LS그룹) — KOSPI",2020-01 ~ 2023-04 (양성 SG 유틸리티 램프 구간과 정렬),"SG증권 CFD 하한가 사태(2023-04-24) 8종목(삼천리·대성홀딩스·서울가스·세방·다올투자증권·하림지주·다우데이터·선광) 중 삼천리·서울가스·대성홀딩스와 동일한 '도시가스 사업지주회사' 피어군(2018 지주 전환)이나 8종목에 미포함. no_spike=unknown: 킬 근거 없으나 2020~2023 시계열로 flat 확증 못함. 검색된 52주 밴드(15,560~88,000, 약 5.6배)는 2026년 기준(창 밖)으로 주장을 반박하지 않으나 대조 윈도우 경계가 후행 급등에 오염되지 않도록 검증 필요. confidence=med.",https://comp.wisereport.co.kr/company/c1010001.aspx?cmp_cd=015360,candidate—시장데이터 검증 대기,2026-07-02
CTL-C1-05-267290,C1,kr_stock-2023-sg-cfd,kr_stock,267290,경동도시가스 (Kyungdong City Gas),"kr_stock / 도시가스 (울산 지역 공급, 규제 유틸리티) — KOSPI",2020-01 ~ 2023-04,"SG CFD 사태 8종목의 도시가스 피어(삼천리·대성홀딩스·서울가스)와 동일 섹터이나 8종목에 미포함, 다년 램프 미동참. no_spike=supported: 2020~2023 급등·상한가·수배 램프 뒷받침 보도 없음, 반대 kill 근거도 없음. 규제 유틸리티 특성·좁은 52주 밴드(2026-02 기준 16,970~24,100)·안정 실적(2024 매출 +0.7%, 영업이익 -5.5%)이 완만한 흐름 지지. 연도별 정확한 고저 배수 미확인. confidence=med.",https://purplenty.com/%EA%B2%BD%EB%8F%99%EB%8F%84%EC%8B%9C%EA%B0%80%EC%8A%A4-%EC%A3%BC%EA%B0%80-%EC%A0%84%EB%A7%9D-%EB%B0%8F-%EC%8B%A4%EC%A0%81-%EC%83%81%EC%84%B8%EB%B6%84%EC%84%9D-%EB%AA%A9%ED%91%9C%,candidate—시장데이터 검증 대기,2026-07-02
CTL-C1-06-034590,C1,kr_stock-2023-sg-cfd,kr_stock,034590,인천도시가스 (Incheon City Gas),"kr_stock / 도시가스 (인천·경기북부 지역 공급, 규제 유틸리티) — KOSPI",2020-01 ~ 2023-04,"SG CFD 사태와 동일 도시가스 섹터이나 조작 종목군 미포함. no_spike=supported: 다수 자료가 저변동성·저거래량·안정 배당주(시가배당 ~5.2%)로 '3년간 가격 변동 거의 없음' 기술. 2023 초 도시가스 테마 섹터 동반 상승 언급 있으나 인천도시가스는 ~4% 추종에 그쳐 조작성 급등/붕괴 아니며 오히려 대조군 성격에 부합(양성=급등·붕괴, 본 종목=미미한 테마 동참). confidence=low.",https://comp.wisereport.co.kr/company/c1010001.aspx?cmp_cd=034590,candidate—시장데이터 검증 대기,2026-07-02
CTL-C1-07-GRT,C1,crypto-2024-nexfundai,crypto,GRT,The Graph (GRT),crypto / ERC-20 utility (Web3 데이터 인덱싱·쿼리 프로토콜; Indexers/Curators/Delegators 스테이킹),2021-2024,"실체 있는 ERC-20 work-token, 대형 기관 투자(Coinbase Ventures, DCG, Multicoin 등). no_spike=supported: 2024 가격 경로(3월 고점 ~$0.45 → 8월 저점 ~$0.128 → 11~12월 ~$0.28~0.34 회복)는 광범위한 암호화폐 시장 사이클 반영이며 개별적 pump-and-dump 아님, 공개 기록상 MM 조작 혐의 없음. 주의: $1B+ 시총으로 조작 마이크로캡 유니버스보다 커 시총 매칭 약함 — 앵커/로버스트니스 컨트롤로만 사용. confidence=low.",https://coinmarketcap.com/currencies/the-graph/,candidate—시장데이터 검증 대기,2026-07-02
CTL-C2-01-297570-060250,C2,kr_stock-2023-youngpoong,kr_stock,"297570, 060250","무상증자 촉매 종목군 (알로이스 297570, NHN한국사이버결제/NHN KCP 060250)","kr_stock / 혼재 (셋톱박스 제조·전자결제, 제지 아님) — 코스닥","촉매 유형 일치(무상증자), 시기 상이(주로 2021)","영풍제지 촉매 중 하나가 2023-04 무상증자였다는 점에 착안한 hype-matched 후보. no_spike=supported: 원천 edaily 기사('주가 급등 뒤 급락…롤러코스터 무상증자株')가 알로이스는 발표일 +20.6% 후 결정 이전 대비 +4.9%로 복귀(지속 급등 부재)했다고 명시, NHN KCP는 2021-11-12 주당 0.5주 무상증자 후 상승폭 반납. 저신뢰 참고 후보: 섹터·시기(2021 vs 양성 2023) 불일치로 정식 C2 매칭 품질 낮음 → 2023년경 무상증자를 낸 제지/유사 섹터 종목으로 재탐색 필요. confidence=low.",https://www.edaily.co.kr/news/read?newsId=03988486629274256&mediaCodeNo=257,candidate—시장데이터 검증 대기,2026-07-02
CTL-C2-02-377030,C2,kr_stock-2022-notus-bonus,kr_stock,377030,맥스트 (MAXST),kr_stock / AR·VR·메타버스 소프트웨어 — 코스닥,"무상증자 결정 공시 2022-01-24 기준 t0 (노터스 t0=2022-05 대비 약 4개월 선행, 동년 동일 촉매)","노터스와 동일 촉매(무상증자, 2022-01-24 1:1 결정)이나 노터스식 '발표→권리락→연속 상한가' 펌프 패턴 부재. no_spike=supported: 서울경제(2022-03-22)가 공시 후 약 15거래일 만에 주가 38.3% 하락했다고 명시, 반대 급등 보도 없음. 2025년 비트맥스로 사명변경. confidence=med.",https://www.sedaily.com/NewsVIew/263IN3XLIE,candidate—시장데이터 검증 대기,2026-07-02
CTL-C2-03-181340,C2,kr_stock-2022-notus-bonus,kr_stock,181340,이즈미디어 (Iz Media),kr_stock / 카메라모듈(CCM) 검사·조립 장비 — 코스닥,"무상증자 계획 공시 2022-02-14 기준 t0 (노터스 t0=2022-05 대비 약 3개월 선행, 동년 동일 촉매)","노터스와 동일 촉매(무상증자). no_spike=supported: 공시일(2022-02-14) 당일 +14.2% 후 하락 전환, 약 15거래일간 -20.88%(다음뉴스 2022-03-22 기사로 교차확인). 노터스식 다수 연속 상한가 급등 부재, 실적·재무 악화로 관리종목 지정 정황 확인. 주의: 후보 인용 source_url(sedaily)과 별개로 동일 수치가 다음뉴스로 확증됨 → 정본화 시 확인된 URL로 교체 권장. confidence=med.",https://www.sedaily.com/NewsVIew/263IN3XLIE (교차확인: https://news.v.daum.net/v/20220322175256953),candidate—시장데이터 검증 대기,2026-07-02
